#OTUId,81.AVd_108,83.AVd_109,85.AVd_110,86.AVd_148,87.AVd_150,88.AVd_154,89.AVd_166,90.AVd_167,92.AVd_170,93.AVd_292,94.AVd_296,95.AVd_298,111.AVd_312,112.AVd_306,113.AVd_307,114.AVd_308,118.AVd_290
OTU_3,21.1433046202036,23.5266604303087,23.143575080149034,0.0,0.061932287365813375,0.009505703422053232,0.03602045962106477,0.02803476310625175,0.006692544505420961,7.657453556864522,16.825203561372803,4.273798262963282,0.01795009872554299,2.6435444644178916,0.0,1.8814003334127174,0.05991611743559017
OTU_4,17.384494909945182,16.922357343311507,15.613898275712677,1.1880707993211024,0.7569501789154969,0.028517110266159697,0.08644910309055544,0.0,0.0,3.48889895786135,1.6056616695837456,3.250494453521369,0.3590019745108598,2.0619646822459554,2.8059572631124543,2.357704215289355,0.019972039145196723
OTU_7,27.825632993996347,30.243217960710943,29.43419114461485,0.008082114281095934,0.0,0.009505703422053232,0.02881636769685181,0.037379684141669006,0.0,0.0,0.0,0.0,0.0,0.010574177857671566,0.010792143319663286,0.0,0.0
OTU_24,11.615766118506917,11.337698783910197,11.437483753574213,1.3901236563485007,0.990916597853014,1.4163498098859315,0.7204091924212953,1.1027006821792356,3.0518002944719584,0.6667098194057868,0.06848793851305075,0.15478545016768425,1.1308562197092085,1.2160304536322302,1.4785236347938702,1.9766611097880449,9.117235869782304
OTU_1,4.045941007569825,4.087932647333957,5.978684689368339,1.5517659419704195,4.727497935590421,0.009505703422053232,6.0874576759599455,7.915148116998411,3.921831080176683,13.541329535892292,10.311239631687085,18.72903947028979,11.900915455035003,13.196573966374114,7.856680336714872,7.096927839961896,24.176153385260633
OTU_30,4.054641955973201,5.612722170252573,5.675418074690235,0.01616422856219187,0.027525461051472612,0.14258555133079848,0.612347813558101,0.5326604990187833,1.345201445589613,0.6926014628778562,0.8827334297237653,0.4815547338550176,1.5257583916711541,0.6027281378872793,0.38851715950787824,0.5596570612050488,0.04993009786299181
OTU_580,1.870703906725833,1.2722170252572498,1.6203101984230137,0.0,0.027525461051472612,0.0,0.007204091924212953,0.0,0.0,0.0,0.08370748040483982,0.008599191675982458,0.19745108598097288,0.010574177857671566,0.05396071659831642,0.011907597046915932,0.0
OTU_36,3.741407813451666,1.8054256314312442,2.0275539381336105,1.7053261133112423,3.4819708230112854,2.6806083650190113,1.1598587997982854,0.897112419400056,2.3892383884352832,1.5017153213800245,2.2829312837683586,2.313182560839281,3.5900197451085982,0.7296182721793381,2.6009065400388516,1.4527268397237438,1.4379868184541642
OTU_68,1.5574697642042983,1.0570626753975678,1.2910493024867862,0.250545542713974,0.08945774841728599,0.10456273764258556,0.1224695627116202,0.15886365760209326,0.18069870164636595,0.3754288303450061,0.11414656418841793,0.07739272508384212,0.1795009872554299,0.07401924500370097,0.09712928987696956,0.13098356751607526,1.7575394447773118
OTU_88,0.8613938919342208,0.7577174929840973,0.8491465210986916,0.08082114281095935,0.13762730525736305,0.0,0.22332684965060154,0.21493318381459678,0.20077633516262883,0.11003948475629491,0.030439083783578114,0.03439676670392983,0.48465266558966075,0.1903352014380882,0.09712928987696956,0.25005953798523456,0.9886159376872379
