#OTUId,85.AVd_110,70.AVd_176,606.wt.f,786.wt.m,33.AVd_176,773.tg.m,34.AVd_166,20.AVd_293,397.tg.m,42.AVd_110,77.AVd_299,19.AVd_171,100.AVd_290,71.AVd_176,35.AVd_166,95.AVd_298,504.wt.m,267.flox.m,116.AVd_294,635.tg.f,111.AVd_312,28.AVd_153,89.AVd_166,90.AVd_167,67.AVd_168,7.AV_360,1.AV_214,59.AVd_100,408.tg.f,822.wt.m,249.tg.f,105.AVd_310,97.AVd_294,98.AVd_294,462.flox.f,36.AVd_291,94.AVd_296,613.flox.f,130.AVd_308,18.AVd_171,61.AVd_151,125.AVd_306,455.flox.m,23.AVd_299,81.AVd_108,86.AVd_148,131.AV_274,12.AVd_99,727.tg.f,109.AVd_307,17.AVd_168,405.tg.f,46.AVd_154,371.tg.m,41.AVd_109,99.AVd_290,503.wt.m,93.AVd_292,45.AVd_150,501.wt.m,8.AV_360,60.AVd_151,21.AVd_293,592.flox.f,550.wt.m,343.tg.f,122.AVd_310,14.AVd_151,10.AVd_98,835.wt.m,2.AV_214,599.wt.f,553.wt.f,594.tg.f,552.wt.m,776.tg.f,591.tg.f,73.AVd_293,38.AVd_292,22.AVd_299,831.flox.m,82.AVd_109,83.AVd_109,374.tg.m,107.AVd_312,779.flox.m,101.AVd_295,103.AVd_309,515.wt.m,6.AV_249,294.flox.f,26.AVd_108,307.tg.m,834.wt.m,233.tg.f,593.tg.f,457.flox.m,634.flox.f,528.wt.f,460.flox.f,69.AVd_171,628.flox.f,88.AVd_154,44.AVd_150,84.AVd_110,92.AVd_170,50.AVd_170,52.AVd_296,398.flox.m,115.AVd_294,114.AVd_308,78.AVd_291,40.AVd_109,622.wt.f,106.AVd_310,72.AVd_293,112.AVd_306,530.wt.f,210.tg.m,68.AVd_171,526.wt.f,124.AVd_312,616.wt.f,31.AVd_148,43.AVd_110,456.flox.m,118.AVd_290,3.AV_209,80.AVd_108,16.AVd_168,39.AVd_292,117.AVd_290,780.flox.m,470.tg.m,243.flox.m,133.AV_387,830.tg.m,357.wt.m,772.flox.m,293.flox.f,629.flox.f,4.AV_209,66.AVd_168,63.AVd_147,527.wt.f,781.flox.m,9.AVd_98,238.flox.m,350.tg.m,728.flox.f,120.AVd_309,53.AVd_298,336.tg.f,110.AVd_308,62.AVd_147,783.flox.m,126.AVd_306,113.AVd_307,49.AVd_167,312.tg.m,54.AVd_296,102.AVd_295,58.AVd_99,11.AVd_99,56.AVd_98,292.flox.f,32.AVd_176,121.AVd_310,821.wt.m,395.tg.m,104.AVd_309,774.tg.m,37.AVd_291,51.AVd_170,76.AVd_299,379.tg.m,670.tg.f,461.flox.f,788.wt.m,669.flox.f,15.AVd_147,296.flox.f,91.AVd_170,87.AVd_150,108.AVd_306,55.AVd_298,396.tg.m,364.tg.f,127.AVd_307,134.AV_387,13.AVd_151,48.AVd_167,29.AVd_153,65.AVd_153,30.AVd_148,132.AV_274,621.wt.f,782.tg.m,128.AVd_307,79.AVd_291,24.AVd_100,57.AVd_98,123.AVd_312,900.tg.m,295.flox.f,344.tg.f,603.wt.f,119.AVd_309,64.AVd_153,5.AV_249,265.wt.m,520.wt.f,25.AVd_108,903.tg.m,47.AVd_154,129.AVd_308
OTU_15,1,642,241,85,196,124,178,1,8,0,232,65,30,286,189,112,73,41,127,122,26,0,210,253,129,54,1,0,33,99,143,24,0,0,32,3,114,36,56,0,9,19,69,318,2,104,12,0,88,59,173,21,0,19,0,172,94,176,25,77,14,8,213,131,45,52,49,78,0,210,0,53,125,349,467,351,67,152,80,1,79,1,0,128,63,64,658,78,482,46,48,0,7,61,7,251,88,60,179,38,316,110,12,586,2,255,2419,97,82,66,67,299,0,427,3,94,64,82,52,257,231,42,195,8,3,83,209,85,1,255,68,98,57,113,101,16,133,87,86,45,38,51,395,105,119,25,0,61,88,64,41,87,105,59,18,43,39,66,167,35,48,62,0,0,0,17,1440,80,36,16,32,149,322,454,145,24,151,40,45,291,13,22,559,50,66,84,1,20,41,44,0,325,49,17,32,5,168,169,26,213,1,0,63,263,39,32,292,53,22,66,133,153,1,153,29,34
OTU_700,0,149,59,18,296,3,183,0,142,0,0,39,0,267,169,1,34,96,0,3,11,0,389,223,141,53,15,0,38,68,83,2,0,0,31,3,0,120,20,0,0,8,139,0,2,19,45,0,14,41,215,28,1,84,0,0,36,0,13,138,23,0,0,22,39,249,78,0,0,42,10,33,12,7,34,20,2,1,0,1,109,0,1,145,19,124,0,7,187,20,24,0,18,34,12,11,138,14,163,31,252,27,0,128,1,35,0,2,45,0,59,1,0,70,4,0,42,52,193,207,27,3,53,5,0,144,1,95,2,72,0,0,4,111,42,55,81,19,66,22,22,53,128,3,63,146,0,56,156,66,74,1,27,19,0,94,1,45,161,27,0,0,0,0,0,8,0,50,22,6,4,39,0,140,1,21,1,20,71,44,0,53,3,78,13,0,11,83,12,85,0,82,1,1,5,73,47,41,6,1,0,1,4,101,2,6,17,22,0,35,160,120,0,131,0,3
OTU_200,0,52,29,68,0,4,2,0,7,0,19,0,94,48,49,10,34,50,220,2,11,0,30,40,22,22,7,0,9,41,15,7,0,0,40,0,33,42,12,0,0,4,73,0,1,73,18,0,27,19,9,25,0,28,0,0,38,1,3,42,11,0,0,14,32,18,33,0,0,20,6,12,33,20,33,21,28,7,7,0,63,0,0,52,14,70,1,16,65,33,33,0,1,31,5,6,80,13,43,56,26,62,0,18,0,100,0,1,81,166,44,11,0,12,5,4,26,62,30,22,40,8,20,6,0,66,324,41,2,0,0,221,97,17,24,30,27,112,48,30,38,26,53,1,56,66,0,54,19,38,31,1,21,33,0,44,15,30,29,16,6,132,0,0,0,32,0,21,24,10,17,15,14,0,11,13,6,47,33,33,0,57,82,28,24,9,2,11,12,72,0,4,0,0,3,29,28,17,9,16,1,0,10,42,21,1,20,30,1,29,89,50,0,41,0,16
OTU_54,0,4,62,110,1,0,0,0,4,0,246,0,0,1,0,24,13,32,0,1,116,0,0,0,0,38,92,0,17,6,8,8,0,0,83,0,7,11,108,0,2,10,47,0,0,35,34,0,16,161,0,8,0,66,0,0,13,0,9,53,9,1,0,41,59,18,307,0,0,6,75,16,33,3,39,6,4,292,0,0,80,0,1,16,208,43,0,17,21,69,49,0,39,33,9,0,51,46,44,203,0,220,0,9,0,0,0,1,17,1,262,64,0,47,34,190,193,81,33,0,46,54,75,4,0,132,2,136,0,0,1,0,130,15,98,58,7,32,22,55,254,104,0,6,41,65,0,107,22,105,150,0,21,144,1,23,94,252,0,20,3,0,0,0,0,35,0,258,46,8,83,3,3,0,227,19,3,64,44,154,0,30,0,51,98,0,4,22,39,109,0,0,0,2,6,41,115,5,63,99,0,0,9,6,25,10,20,67,5,77,44,39,1,8,0,30
OTU_2,0,5,399,385,0,229,0,0,0,0,0,0,0,2,0,0,631,757,0,224,90,0,0,0,1,415,111,1,0,390,1841,929,0,0,328,1,0,474,992,0,0,1203,399,0,0,1546,398,0,421,1112,0,545,1,0,0,0,868,0,677,480,85,0,0,520,333,341,774,0,0,458,68,381,969,324,761,540,760,2,0,0,248,0,0,730,247,555,2,1112,516,151,1352,0,2,120,1532,293,836,400,425,679,2,807,0,6,0,0,0,0,597,1,687,0,0,295,1090,1,840,556,18,4,585,460,387,1022,1,733,71,335,0,0,0,0,740,1095,560,180,241,587,518,675,1042,188,1,0,713,565,1,542,0,709,838,0,10,795,0,168,2161,762,2,20,1,2,0,0,0,483,0,892,299,2,896,582,0,0,0,9,358,579,259,966,0,765,0,1595,768,0,0,3,455,275,1,0,0,0,0,199,357,364,970,0,1,0,1272,931,764,45,497,742,0,148,685,487,0,393,1,1028
OTU_91,0,1,24,25,0,2,0,0,154,0,10,0,0,0,0,0,36,51,0,10,0,0,0,0,0,86,43,0,347,13,42,0,0,0,27,4,2,57,0,0,0,0,15,1,3,0,53,0,2,0,0,160,2,211,0,0,33,1,0,33,6,0,0,303,52,147,0,0,0,35,3,43,43,34,48,23,10,0,5,0,85,0,0,104,2,56,0,3,28,9,101,0,55,22,521,29,14,5,17,88,1,70,1,0,0,4,0,1,15,0,0,0,0,43,0,0,0,12,48,0,32,1,46,1,0,13,0,39,3,0,0,0,32,65,50,25,64,15,70,86,18,7,10,2,40,41,0,25,123,19,2,0,225,0,0,39,0,0,0,164,2,1,2,0,0,32,0,0,9,296,1,25,0,1,0,553,9,33,22,41,0,54,0,0,0,0,508,233,0,14,1,0,0,0,1,5,32,70,0,10,7,0,0,13,20,871,28,1,0,32,22,43,0,2,0,0
OTU_11,0,2,1,10,0,8,0,0,171,0,0,0,1,0,0,0,10,507,0,139,71,0,0,0,0,14,0,0,1,9,266,34,0,0,386,0,0,221,55,0,0,37,424,0,0,5,14,0,0,162,0,3,0,10,0,0,10,0,1,1,5,0,0,0,0,1207,166,0,0,157,0,82,274,1,113,0,85,0,0,0,266,0,0,431,164,200,0,76,599,6,1077,0,762,111,370,0,358,34,203,732,0,567,0,70,0,0,0,0,462,0,32,0,0,0,17,2,80,1,310,0,21,20,0,2,0,0,4,356,0,0,0,0,12,755,149,58,0,561,335,854,0,193,0,0,0,175,0,817,1,188,207,0,2,140,0,17,52,131,1,991,0,0,0,0,0,921,0,373,1,691,18,115,0,0,0,536,0,435,142,147,0,1459,0,0,69,0,131,922,39,109,0,0,0,0,18,14,0,0,13,0,0,0,180,54,695,884,57,174,0,12,427,46,0,46,0,69
OTU_104,0,2,0,26,0,0,0,0,0,0,122,0,0,0,0,0,0,33,0,15,113,0,0,0,0,31,0,0,0,185,0,0,0,0,39,3,0,0,72,0,0,1,56,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,251,81,0,0,197,0,0,2,0,32,1,0,112,0,27,0,0,0,0,108,0,0,0,0,0,1,0,0,85,1,0,48,1,204,78,0,0,1,0,0,0,0,0,0,0,38,56,0,0,5,57,26,0,1,0,50,10,0,0,0,2,0,0,0,0,0,0,84,0,0,12,0,0,0,27,5,0,0,0,0,0,0,0,0,0,114,1,1,14,0,0,12,0,0,0,0,0,0,0,0,74,0,148,74,0,49,1,76,0,116,0,0,145,0,0,0,0,0,0,6,0,0,0,0,49,0,0,0,0,0,0,0,0,12,45,0,0,0,354,86,0,99,46,0,5,26,0,0,200,0,0
OTU_8,0,1,66,227,0,80,0,0,302,0,0,0,2,1,0,0,272,215,0,86,248,0,0,0,2,56,9,0,651,66,548,813,0,1,79,0,0,296,361,0,327,459,325,0,0,395,76,1,177,549,1,326,4,650,0,0,190,0,464,95,16,321,0,164,91,495,242,387,0,13,2,125,545,89,110,183,358,0,1,0,213,0,0,409,368,252,0,769,94,42,159,0,4,3,440,93,427,92,10,101,0,428,1003,169,1,1,0,0,321,1,433,0,0,218,606,2,487,5,326,2,71,213,42,187,0,337,19,89,0,2,0,0,26,429,302,100,134,264,194,212,183,64,0,571,169,183,0,280,48,307,477,0,366,612,322,186,660,298,0,1117,0,3,0,1,0,374,0,317,100,254,507,213,0,0,0,226,116,295,171,507,424,375,0,601,515,0,190,519,340,119,0,0,234,372,126,23,87,281,290,0,0,1,1273,160,250,188,104,376,330,66,77,157,0,120,309,608
OTU_48,0,1,58,39,0,3,0,0,93,0,126,0,2,3,0,76,57,65,1,5,114,0,1,0,0,28,36,0,175,40,20,11,0,0,49,2,48,76,93,0,176,4,68,85,2,78,18,0,10,76,0,68,0,67,0,0,48,49,12,55,11,114,34,74,38,232,123,1,0,28,53,23,56,18,71,27,23,173,21,0,118,0,0,100,130,53,0,40,87,45,60,0,20,26,22,17,93,16,64,60,0,79,83,125,0,0,0,18,35,1,85,275,0,35,28,143,44,71,128,0,42,71,84,8,0,126,7,62,3,0,20,1,81,204,56,23,15,53,82,56,69,43,1,185,64,96,0,54,152,132,118,2,76,94,192,63,72,85,0,253,16,2,1,0,0,34,0,145,21,21,43,54,280,0,201,47,8,74,92,71,0,64,0,90,51,16,30,234,15,39,0,0,0,188,6,38,56,16,39,223,0,0,15,55,33,83,36,117,93,32,47,56,0,92,0,18
