#OTUId,101.AVd_295,103.AVd_309,105.AVd_310,11.AVd_99,123.AVd_312,125.AVd_306,127.AVd_307,129.AVd_308,13.AVd_151,16.AVd_168,18.AVd_171,20.AVd_293,22.AVd_299,24.AVd_100,25.AVd_108,28.AVd_153,30.AVd_148,32.AVd_176,34.AVd_166,36.AVd_291,38.AVd_292,40.AVd_109,42.AVd_110,44.AVd_150,46.AVd_154,48.AVd_167,50.AVd_170,52.AVd_296,53.AVd_298,9.AVd_98,97.AVd_294,99.AVd_290
OTU_200,0.01680672268907563,0.23862788963460105,0.1482108829134025,0.0,0.12631047113805735,0.06957731779439903,0.2828854314002829,0.26367831245880025,0.0,0.0,0.0,0.0,0.0,0.017322016282695307,0.0,0.0,0.05676442762535478,0.0,0.03185220576524924,0.0,0.07265933153414988,0.0,0.0,0.16117478510028654,0.0,0.062315002336812586,0.0,0.012559658377292138,0.01130837950921633,0.0,0.0,0.0
OTU_54,0.0,0.2535421327367636,0.16938386618674572,0.0,0.11367942402425162,0.17394329448599757,0.9193776520509194,0.4943968358602505,0.0,0.0,0.0,0.0,0.0,0.0,0.03616636528028933,0.0,0.11352885525070956,0.0,0.0,0.0,0.0,0.0,0.0,0.08058739255014327,0.0,0.0,0.0,0.012559658377292138,0.0,0.0,0.0,0.0
OTU_2,0.03361344537815126,16.584638329604772,19.669701460935848,0.0,16.066691928760893,20.925378326665506,10.726072607260726,16.941331575477918,0.012017786323759164,0.0,0.0,0.0,0.0,0.017322016282695307,0.0,0.0,0.0,0.0,0.0,0.012503125781445362,0.0,0.0,0.0,0.053724928366762174,0.010166734444896299,0.0,0.0,0.0,0.0,0.009823182711198428,0.0,0.0
OTU_204,0.0,0.22371364653243847,0.10586491636671606,0.0,0.0,0.017394329448599758,0.07072135785007072,0.09887936717205009,0.0,0.0,0.0,0.0,0.01181753722524226,0.0,0.0,0.0,0.03784295175023652,0.0,0.0,0.0,0.0,0.0,0.0,0.12535816618911175,0.0,0.0,0.0,0.037678975131876416,0.02261675901843266,0.0,0.0,0.0
OTU_70,0.0,1.0887397464578672,1.5668007622273978,0.0,1.187318428697739,1.217603061401983,1.6737388024516737,1.1206328279499012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025006251562890724,0.031139713514635667,0.0,0.0,0.0,0.010166734444896299,0.0,0.0,0.0,0.01130837950921633,0.0,0.0,0.0
OTU_100,0.0,0.41759880686055184,0.33876773237349145,0.0,0.16420361247947454,0.13915463558879806,0.3536067892503536,0.36255767963085034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037509377344336084,0.010379904504878554,0.0,0.0,0.2238538681948424,0.0,0.0,0.0,0.0,0.0,0.009823182711198428,0.0,0.0
OTU_69,0.0,0.16405667412378822,0.1482108829134025,0.0,0.0,0.0,0.9193776520509194,0.26367831245880025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13245033112582782,0.0,0.0,0.0,0.0,0.0,0.0,0.2238538681948424,0.010166734444896299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_62,0.0,0.014914243102162566,0.23290281600677534,0.0,0.12631047113805735,0.10436597669159854,0.11786892975011787,0.11535926170072512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026862464183381087,0.0,0.015578750584203147,0.0,0.0,0.0,0.0,0.0,0.0
OTU_75,0.0,0.23862788963460105,0.2752487825534618,0.0,0.20209675382089176,0.34788658897199515,0.40075436115040075,0.2801582069874753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03784295175023652,0.0,0.0,0.0,0.0,0.0,0.0,0.6088825214899714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_124,0.0,0.10439970171513796,0.10586491636671606,0.0,0.037893141341417205,0.15654896503739782,0.2828854314002829,0.09887936717205009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946073793755913,0.0,0.0,0.05001250312578145,0.02075980900975711,0.0,0.0,0.04477077363896848,0.0,0.0,0.0,0.28887214267771916,0.20355083116589393,0.0,0.0,0.0
OTU_146,0.0,0.9843400447427293,0.42345966546686425,0.0,0.30314513073133764,0.10436597669159854,0.5657708628005658,0.7580751483190508,0.0,0.0,0.0,0.017340038148083926,0.01181753722524226,0.0,0.03616636528028933,0.0,0.07568590350047304,0.0,0.0,0.025006251562890724,0.010379904504878554,0.0,0.0,0.8327363896848138,0.0,0.0,0.0,0.1004772670183371,0.06785027705529798,0.0,0.0,0.0
OTU_191,0.0,0.05965697240865026,0.0,0.0,0.1768346595932803,0.19133762393459733,0.0942951438000943,0.14831905075807514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05676442762535478,0.0,0.0,0.0,0.0,0.0,0.0,0.10744985673352435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_282,0.0,0.1342281879194631,0.021172983273343216,0.0,0.05052418845522294,0.034788658897199516,0.04714757190004715,0.08239947264337508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012503125781445362,0.0,0.0,0.0,0.0,0.010166734444896299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_109,0.0,2.535421327367636,2.074952360787635,0.0,2.0841227737779464,2.365628805009567,1.1315417256011315,1.7633487145682267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7757805108798487,0.0,0.0,0.012503125781445362,0.0,0.0,0.0,0.14326647564469913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_470,0.0,0.1342281879194631,0.08469193309337286,0.0,0.05052418845522294,0.017394329448599758,0.07072135785007072,0.06591957811470006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946073793755913,0.0,0.0,0.0,0.0,0.0,0.0,0.2328080229226361,0.0,0.015578750584203147,0.0,0.0,0.0,0.0,0.0,0.0
OTU_165,0.0,0.4772557792692021,0.21172983273343213,0.0,0.11367942402425162,0.06957731779439903,0.21216407355021216,0.06591957811470006,0.0,0.0,0.0,0.0,0.0,0.017322016282695307,0.0,0.0,0.01892147587511826,0.0,0.0,0.0,0.010379904504878554,0.0,0.0,0.13431232091690545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_134,0.0,1.2080536912751678,1.3550709294939658,0.0,2.0083364910951116,1.2002087319533832,1.1786892975011787,1.5491100856954516,0.0,0.0,0.0,0.0,0.0,0.017322016282695307,0.0,0.0,0.26490066225165565,0.0,0.0,0.0,0.0,0.0,0.0,0.06267908309455587,0.0,0.0,0.0,0.0,0.0,0.009823182711198428,0.0,0.0
