#OTUId,91.AVd_170,84.AVd_110,82.AVd_109,80.AVd_108,78.AVd_291,76.AVd_299,72.AVd_293,70.AVd_176,68.AVd_171,66.AVd_168,64.AVd_153,62.AVd_147,60.AVd_151,56.AVd_98,121.AVd_310,119.AVd_309,117.AVd_290,115.AVd_294,110.AVd_308,109.AVd_307,108.AVd_306,107.AVd_312
OTU_289,0.29764673053669427,0.008996041741633681,0.0,0.0,0.45614035087719296,0.40267138086819876,0.8238429852192877,0.8552400981423064,2.940676525582186,1.1563367252543941,0.684814244136278,1.124780316344464,0.800505582473141,0.0,0.09109542245502164,0.17615176151761516,0.0,0.0,0.035523978685612786,0.12040939193257075,0.09099181073703366,0.07757951900698215
OTU_1063,1.4882336526834714,0.0,0.0,0.0,2.3228070175438598,2.1704969554115103,0.0726920281075842,1.0164738871363477,1.1388747237803842,1.7229417206290472,0.7704160246533128,0.8260105448154658,1.8959342742784917,0.0,0.5921202459576407,0.4742547425474255,0.0,0.0,0.0,0.25285972305839854,0.5849473547380736,1.196941150393439
OTU_99,1.9998139707934146,0.0,0.0,0.0,0.0,0.05892751915144372,0.121153380179307,0.7570977917981072,0.17848036715961244,0.18501387604070305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_15,5.199516324062878,0.017992083483267363,0.009065361254645998,0.009044044496698924,2.0982456140350876,1.4240817128265566,1.138841773685486,4.500525762355416,2.1842597314295427,4.567530064754856,0.3766478342749529,0.3163444639718805,0.16852749104697703,0.0,0.9109542245502164,0.7181571815718157,1.359977796280877,0.781712661376288,0.6986382474837182,0.7104154124021673,0.8579227869491746,0.6982156710628394
OTU_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.362609142270159,1.5114235500878734,1.8959342742784917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_12,4.966979815831086,0.008996041741633681,0.0,0.0,0.0,0.009821253191907287,0.0,3.70136698212408,4.623491415944246,5.793246993524514,0.0,0.0,0.0,0.0,1.047597358232749,2.6287262872628725,0.0,0.0,0.8170515097690941,1.3606261288380495,0.9359157675809178,2.5490413388008424
OTU_334,0.10231606362198865,0.0,0.0,0.09044044496698923,1.6350877192982456,1.7481830681594972,1.9869154349406348,0.31545741324921134,0.35696073431922487,0.5666049953746531,0.5649717514124294,1.2829525483304043,0.6951759005687803,0.0,1.844682304714188,1.7208672086720866,1.9011934499028587,0.5211417742508587,1.492007104795737,1.1198073449729078,0.8449239568438841,1.2745206694004212
OTU_10,4.371686354757697,0.0,0.0,0.0,0.8771929824561403,0.7365939893930465,0.6057669008965351,2.039957939011567,1.8952915179330274,2.0582793709528215,1.6777948981338813,2.460456942003515,2.401516747419423,0.0,0.011386927806877705,0.1897018970189702,0.0,0.0,0.011841326228537596,0.38531005418422637,0.07799298063174315,0.06649673057741327
OTU_56,0.1953306669147056,0.0,0.0,0.0,0.6596491228070176,0.0,0.0,1.0164738871363477,1.8527961924188339,1.4107308048103608,0.0,0.01757469244288225,0.0,0.0,0.0,0.0948509485094851,0.5134610047182903,1.3976074854909393,0.011841326228537596,0.012040939193257074,0.2209801117899389,0.02216557685913776
OTU_80,1.2649986047809507,0.0,0.0,0.0,0.007017543859649123,0.0,0.0121153380179307,0.0,1.8187999320074792,2.7867715078630897,0.0,0.0,0.0,0.0,0.011386927806877705,0.0,0.0,0.0,0.011841326228537596,0.060204695966285374,0.4679578837904589,0.0
OTU_6,0.0,0.0,0.0,0.01808808899339785,0.2736842105263158,3.6535061873895107,27.053549794039252,0.028040658955485454,0.0,0.01156336725254394,4.108885464817668,0.281195079086116,3.370549820939541,0.009914733293674401,0.2163516283306764,0.14905149051490515,1.1240632805995003,0.0,4.262877442273535,2.745334136062613,4.419602235798778,6.8269976726144295
OTU_111,0.9766533345735281,0.0,0.0,0.0,0.0,0.0,0.0,0.11917280056081318,1.5468298487166412,0.4856614246068455,0.0,0.0,0.0,0.0,0.011386927806877705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_41,1.069667937866245,0.0,0.0,0.009044044496698924,0.2807017543859649,0.1473187978786093,0.1696147322510298,0.5748335085874519,0.5864354920958694,0.6938020351526365,0.42800890258517377,0.7205623901581723,0.8637033916157573,0.0,0.0,0.0,0.0,0.0,0.0,0.048163756773028296,0.0,0.0
OTU_40,2.5206957492326296,0.0,0.0,0.009044044496698924,0.09824561403508772,0.9133765468473777,1.005573055488248,1.4300736067297581,0.7564167941526432,1.5148011100832564,0.0,0.0,0.0,0.0,0.5579594625370076,0.13550135501355012,1.0824313072439633,3.6006158948241147,0.5210183540556542,0.4093919325707405,0.5589496945274925,1.2191067272525768
OTU_26,0.7813226676588224,0.0,0.0,0.0,2.8912280701754387,2.0428206639167157,1.8778773927792585,1.6614090431125133,1.198368179500255,1.2025901942645698,0.4108885464817668,1.1599297012302285,1.2218243100905835,0.0,0.7970849464814393,0.7588075880758808,1.8318068276436303,3.1860713016700224,2.0959147424511544,1.4328717639975919,2.2617964383205513,1.0417821123794746
OTU_515,0.0,0.0,0.0,0.0,0.0912280701754386,0.08839127872716558,0.0242306760358614,0.0,0.008499065102838687,0.02312673450508788,0.6505735319294641,0.45694200351493847,0.48451653676005896,0.0,0.2846731951719426,0.42005420054200543,0.0,0.011844131232974061,0.7341622261693309,0.6020469596628537,0.4809567138957494,0.5430566330488751
OTU_103,0.018602920658543392,0.0,0.0,0.0,0.10526315789473684,0.019642506383814574,0.1938454082868912,0.46267087276551,0.9603943566207717,0.7169287696577243,0.0,0.05272407732864675,0.04213187276174426,0.0,0.05693463903438852,0.17615176151761516,0.013877324451845684,0.10659718109676655,0.5210183540556542,0.036122817579771226,0.4679578837904589,0.03324836528870664
OTU_209,0.037205841317086784,0.0,0.0,0.0,0.03508771929824561,0.02946375957572186,0.0242306760358614,0.03505082369435682,0.016998130205677375,0.04625346901017576,0.05136106831022085,0.0,0.02106593638087213,0.0,0.04554771122751082,0.02710027100271003,0.09714127116291979,0.23688262465948123,0.011841326228537596,0.0,0.0,0.01108278842956888
