OTU,Prevalence_NT,Prevalence_T
OTU_24,100,100
OTU_30,100,100
OTU_38,100,100
OTU_115,100,83.33
OTU_187,100,83.33
OTU_66,0,50
OTU_11,0,16.67
OTU_77,0,50
OTU_208,0,0
OTU_70,0,16.67
OTU_100,0,0
OTU_193,0,33.33
OTU_65,0,0
OTU_62,0,0
OTU_58,0,0
OTU_167,0,50
OTU_159,0,0
OTU_207,0,0
OTU_53,0,16.67
OTU_112,0,0
