#OTUId,101.AVd_295,30.AVd_148,34.AVd_166,38.AVd_292,44.AVd_150,48.AVd_167,52.AVd_296,53.AVd_298,99.AVd_290
OTU_200,0.01680672268907563,0.056764427625354774,0.03185220576524924,0.07265933153414987,0.16117478510028654,0.062315002336812586,0.012559658377292138,0.01130837950921633,0.0
OTU_54,0.0,0.11352885525070955,0.0,0.0,0.08058739255014327,0.0,0.012559658377292138,0.0,0.0
OTU_2,0.03361344537815126,0.0,0.0,0.0,0.053724928366762174,0.0,0.0,0.0,0.0
OTU_204,0.0,0.03784295175023652,0.0,0.0,0.12535816618911175,0.0,0.037678975131876416,0.02261675901843266,0.0
OTU_70,0.0,0.0,0.0,0.03113971351463567,0.0,0.0,0.0,0.01130837950921633,0.0
OTU_100,0.0,0.0,0.0,0.010379904504878554,0.2238538681948424,0.0,0.0,0.0,0.0
OTU_69,0.0,0.13245033112582782,0.0,0.0,0.2238538681948424,0.0,0.0,0.0,0.0
OTU_62,0.0,0.0,0.0,0.0,0.026862464183381087,0.015578750584203147,0.0,0.0,0.0
OTU_75,0.0,0.03784295175023652,0.0,0.0,0.6088825214899714,0.0,0.0,0.0,0.0
OTU_124,0.0,0.0946073793755913,0.0,0.02075980900975711,0.04477077363896848,0.0,0.2888721426777192,0.20355083116589395,0.0
OTU_146,0.0,0.07568590350047304,0.0,0.010379904504878554,0.8327363896848138,0.0,0.1004772670183371,0.06785027705529798,0.0
OTU_191,0.0,0.056764427625354774,0.0,0.0,0.10744985673352436,0.0,0.0,0.0,0.0
OTU_282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_109,0.0,0.7757805108798487,0.0,0.0,0.14326647564469913,0.0,0.0,0.0,0.0
OTU_470,0.0,0.0946073793755913,0.0,0.0,0.2328080229226361,0.015578750584203147,0.0,0.0,0.0
OTU_165,0.0,0.01892147587511826,0.0,0.010379904504878554,0.13431232091690545,0.0,0.0,0.0,0.0
OTU_134,0.0,0.26490066225165565,0.0,0.0,0.06267908309455587,0.0,0.0,0.0,0.0
OTU_184,0.0,0.0,0.0,0.0,0.06267908309455587,0.0,0.0,0.02261675901843266,0.0
OTU_112,0.0,0.0946073793755913,0.0,0.02075980900975711,0.5372492836676218,0.0,0.012559658377292138,0.0,0.02470660901791229
